model,language,roi_name,roi_family,mean_z_raw,mean_z_shared,mean_z_specific,mean_z_mismatched,delta_shared_specific,p_perm,q_fdr,n_subjects
nllb_encoder,fr,L_aSTG,auditory,0.09984519610145327,0.11067005146983269,0.06643346131769864,0.02933220454008833,0.04423659015213408,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,fr,L_pSTG,auditory,0.12480069825578281,0.13620293414165677,0.07494552535636098,0.05064721544412382,0.06125740878529575,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,fr,R_Heschl,auditory,0.09482279627928081,0.0967638497740426,0.06449881648652393,0.037501730396949394,0.032265033287518674,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,fr,R_aSTG,auditory,0.0988441994235132,0.11589213583940461,0.0682562267770144,0.0454601571350086,0.04763590906239022,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,fr,R_pSTG,auditory,0.14194319697546118,0.16158192977643374,0.08967665270826845,0.06841046952981249,0.07190527706816525,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,fr,L_OccipitalPole,control,0.01801756960890002,0.02471628688948219,0.013998877679333466,-0.0035155247066118588,0.010717409210148729,0.1294870512948705,0.137103936665157,28
nllb_encoder,fr,L_Precentral,control,0.016001492547559174,0.0202613631507096,0.011399902946915882,0.002620718111301129,0.00886146020379372,0.18838116188381163,0.18838116188381163,28
nllb_encoder,fr,R_OccipitalPole,control,0.02223744927051464,0.032485727636682345,0.013377814876133775,-0.0022439031810199592,0.01910791276054858,0.021497850214978503,0.025797420257974202,28
nllb_encoder,fr,R_Precentral,control,0.00823636253098804,0.015930455763698427,0.003226082722346743,-0.0022980096202324185,0.01270437304135168,0.054894510548945105,0.061756324367563245,28
nllb_encoder,fr,L_AG,semantic,0.059337759298257804,0.05793121149075849,0.03389942766567804,0.01034310426420885,0.024031783825080456,0.0028997100289971,0.003728198608710557,28
nllb_encoder,fr,L_IFGtri,semantic,0.08799644375293883,0.09311704397894952,0.04455991182415077,0.011226038554755997,0.04855713215479874,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,fr,L_TemporalPole,semantic,0.06146202030448434,0.07884630649220184,0.03289099923208136,0.008859779808860409,0.045955307260120475,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,fr,L_pMTG,semantic,0.06295906714864506,0.06744262747322462,0.03739839123836005,0.011590722709206634,0.030044236234864574,0.00029997000299970003,0.00041534308107650774,28
nllb_encoder,fr,R_AG,semantic,0.08802752823605584,0.09922271634159877,0.049691169386153825,0.014807446235395368,0.04953154695544494,9.999000099990002e-05,0.00016362000163620003,28
